Week,Flat_Type,trend
2021-10-10,En-suite,37
2021-10-17,En-suite,36
2021-10-24,En-suite,35
2021-10-31,En-suite,33
2021-11-07,En-suite,35
2021-11-14,En-suite,33
2021-11-21,En-suite,37
2021-11-28,En-suite,36
2021-12-05,En-suite,26
2021-12-12,En-suite,32
2021-12-19,En-suite,31
2021-12-26,En-suite,42
2022-01-02,En-suite,38
2022-01-09,En-suite,52
2022-01-16,En-suite,48
2022-01-23,En-suite,48
2022-01-30,En-suite,42
2022-02-06,En-suite,49
2022-02-13,En-suite,41
2022-02-20,En-suite,38
2022-02-27,En-suite,45
2022-03-06,En-suite,44
2022-03-13,En-suite,45
2022-03-20,En-suite,33
2022-03-27,En-suite,36
2022-04-03,En-suite,41
2022-04-10,En-suite,42
2022-04-17,En-suite,42
2022-04-24,En-suite,49
2022-05-01,En-suite,44
2019-01-06,Two Bedroom Flat,17
2019-01-13,Two Bedroom Flat,15
2019-01-20,Two Bedroom Flat,15
2019-01-27,Two Bedroom Flat,16
2019-02-03,Two Bedroom Flat,12
2019-02-10,Two Bedroom Flat,14
2019-02-17,Two Bedroom Flat,18
2019-02-24,Two Bedroom Flat,15
2019-03-03,Two Bedroom Flat,16
2019-03-10,Two Bedroom Flat,12
2019-03-17,Two Bedroom Flat,13
2019-03-24,Two Bedroom Flat,14
2019-03-31,Two Bedroom Flat,15
2019-04-07,Two Bedroom Flat,15
2019-04-14,Two Bedroom Flat,16
2019-04-21,Two Bedroom Flat,12
2019-04-28,Two Bedroom Flat,10
2019-05-05,Two Bedroom Flat,14
2019-05-12,Two Bedroom Flat,16
2019-05-19,Two Bedroom Flat,14
2019-05-26,Two Bedroom Flat,10
2019-06-02,Two Bedroom Flat,15
2019-06-09,Two Bedroom Flat,15
2019-06-16,Two Bedroom Flat,14
2019-06-23,Two Bedroom Flat,10
2019-06-30,Two Bedroom Flat,12
2019-07-07,Two Bedroom Flat,15
2019-07-14,Two Bedroom Flat,13
2019-07-21,Two Bedroom Flat,13
2019-07-28,Two Bedroom Flat,16
2019-08-04,Two Bedroom Flat,17
2019-08-11,Two Bedroom Flat,13
2019-08-18,Two Bedroom Flat,16
2019-08-25,Two Bedroom Flat,13
2019-09-01,Two Bedroom Flat,15
2019-09-08,Two Bedroom Flat,15
2019-09-15,Two Bedroom Flat,11
2019-09-22,Two Bedroom Flat,11
2019-09-29,Two Bedroom Flat,13
2019-10-06,Two Bedroom Flat,12
2019-10-13,Two Bedroom Flat,14
2019-10-20,Two Bedroom Flat,11
2019-10-27,Two Bedroom Flat,10
2019-11-03,Two Bedroom Flat,11
2019-11-10,Two Bedroom Flat,15
2019-11-17,Two Bedroom Flat,9
2019-11-24,Two Bedroom Flat,13
2019-12-01,Two Bedroom Flat,10
2019-12-08,Two Bedroom Flat,14
2019-12-15,Two Bedroom Flat,12
2019-12-22,Two Bedroom Flat,8
2019-12-29,Two Bedroom Flat,10
2020-01-05,Two Bedroom Flat,11
2020-01-12,Two Bedroom Flat,16
2020-01-19,Two Bedroom Flat,15
2020-01-26,Two Bedroom Flat,15
2020-02-02,Two Bedroom Flat,10
2020-02-09,Two Bedroom Flat,11
2020-02-16,Two Bedroom Flat,12
2020-02-23,Two Bedroom Flat,14
2020-03-01,Two Bedroom Flat,12
2020-03-08,Two Bedroom Flat,8
2020-03-15,Two Bedroom Flat,9
2020-03-22,Two Bedroom Flat,7
2020-03-29,Two Bedroom Flat,8
2020-04-05,Two Bedroom Flat,7
2020-04-12,Two Bedroom Flat,8
2020-04-19,Two Bedroom Flat,9
2020-04-26,Two Bedroom Flat,9
2020-05-03,Two Bedroom Flat,9
2020-05-10,Two Bedroom Flat,10
2020-05-17,Two Bedroom Flat,11
2020-05-24,Two Bedroom Flat,14
2020-05-31,Two Bedroom Flat,14
2020-06-07,Two Bedroom Flat,11
2020-06-14,Two Bedroom Flat,17
2020-06-21,Two Bedroom Flat,11
2020-06-28,Two Bedroom Flat,15
2020-07-05,Two Bedroom Flat,14
2020-07-12,Two Bedroom Flat,13
2020-07-19,Two Bedroom Flat,19
2020-07-26,Two Bedroom Flat,15
2020-08-02,Two Bedroom Flat,16
2020-08-09,Two Bedroom Flat,15
2020-08-16,Two Bedroom Flat,14
2020-08-23,Two Bedroom Flat,14
2020-08-30,Two Bedroom Flat,18
2020-09-06,Two Bedroom Flat,12
2020-09-13,Two Bedroom Flat,13
2020-09-20,Two Bedroom Flat,14
2020-09-27,Two Bedroom Flat,14
2020-10-04,Two Bedroom Flat,17
2020-10-11,Two Bedroom Flat,9
2020-10-18,Two Bedroom Flat,14
2020-10-25,Two Bedroom Flat,10
2020-11-01,Two Bedroom Flat,13
2020-11-08,Two Bedroom Flat,10
2020-11-15,Two Bedroom Flat,10
2020-11-22,Two Bedroom Flat,10
2020-11-29,Two Bedroom Flat,9
2020-12-06,Two Bedroom Flat,8
2020-12-13,Two Bedroom Flat,10
2020-12-20,Two Bedroom Flat,9
2020-12-27,Two Bedroom Flat,12
2021-01-03,Two Bedroom Flat,10
2021-01-10,Two Bedroom Flat,11
2021-01-17,Two Bedroom Flat,11
2021-01-24,Two Bedroom Flat,14
2021-01-31,Two Bedroom Flat,17
2021-02-07,Two Bedroom Flat,13
2021-02-14,Two Bedroom Flat,13
2021-02-21,Two Bedroom Flat,13
2021-02-28,Two Bedroom Flat,13
2021-03-07,Two Bedroom Flat,15
2021-03-14,Two Bedroom Flat,15
2021-03-21,Two Bedroom Flat,14
2021-03-28,Two Bedroom Flat,14
2021-04-04,Two Bedroom Flat,14
2021-04-11,Two Bedroom Flat,13
2021-04-18,Two Bedroom Flat,14
2021-04-25,Two Bedroom Flat,15
2021-05-02,Two Bedroom Flat,14
2021-05-09,Two Bedroom Flat,17
2021-05-16,Two Bedroom Flat,14
2021-05-23,Two Bedroom Flat,12
2021-05-30,Two Bedroom Flat,14
2021-06-06,Two Bedroom Flat,10
2021-06-13,Two Bedroom Flat,18
2021-06-20,Two Bedroom Flat,13
2021-06-27,Two Bedroom Flat,12
2021-07-04,Two Bedroom Flat,19
2021-07-11,Two Bedroom Flat,13
2021-07-18,Two Bedroom Flat,11
2021-07-25,Two Bedroom Flat,13
2021-08-01,Two Bedroom Flat,12
2021-08-08,Two Bedroom Flat,16
2021-08-15,Two Bedroom Flat,16
2021-08-22,Two Bedroom Flat,16
2021-08-29,Two Bedroom Flat,14
2021-09-05,Two Bedroom Flat,16
2021-09-12,Two Bedroom Flat,16
2021-09-19,Two Bedroom Flat,12
2021-09-26,Two Bedroom Flat,11
2021-10-03,Two Bedroom Flat,11
2021-10-10,Two Bedroom Flat,13
2021-10-17,Two Bedroom Flat,10
2021-10-24,Two Bedroom Flat,15
2021-10-31,Two Bedroom Flat,10
2021-11-07,Two Bedroom Flat,12
2021-11-14,Two Bedroom Flat,14
2021-11-21,Two Bedroom Flat,14
2021-11-28,Two Bedroom Flat,12
2021-12-05,Two Bedroom Flat,14
2021-12-12,Two Bedroom Flat,10
2021-12-19,Two Bedroom Flat,7
2021-12-26,Two Bedroom Flat,8
2022-01-02,Two Bedroom Flat,15
2022-01-09,Two Bedroom Flat,15
2022-01-16,Two Bedroom Flat,13
2022-01-23,Two Bedroom Flat,14
2022-01-30,Two Bedroom Flat,17
2022-02-06,Two Bedroom Flat,18
2022-02-13,Two Bedroom Flat,15
2022-02-20,Two Bedroom Flat,12
2022-02-27,Two Bedroom Flat,13
2022-03-06,Two Bedroom Flat,11
2022-03-13,Two Bedroom Flat,15
2022-03-20,Two Bedroom Flat,15
2022-03-27,Two Bedroom Flat,13
2022-04-03,Two Bedroom Flat,11
2022-04-10,Two Bedroom Flat,14
2022-04-17,Two Bedroom Flat,13
2022-04-24,Two Bedroom Flat,17
2022-05-01,Two Bedroom Flat,9
